location,cuisine,budget,city,restaurants,rating
DELHI,North Indian,below 500,Delhi,Indian Accent,4.5
DELHI,North Indian,above 500,Delhi,Bukhara - ITC Maurya,4.3
DELHI,Chinese,below 500,Delhi,Bamboo Shoots,4.0
DELHI,Chinese,above 500,Delhi,Woks,4.2
DELHI,Bengali,below 500,Delhi,Oh! Calcutta,4.3
DELHI,Bengali,above 500,Delhi,Kewpies,4.1
DELHI,South Indian,below 500,Delhi,Saravana Bhavan,4.5
DELHI,South Indian,above 500,Delhi,Sagar Ratna,4.3
DELHI,North Indian,below 500,Delhi,Parikrama - The Revolving Restaurant,4.2
DELHI,North Indian,above 500,Delhi,Peshawri - ITC Maurya,4.6
DELHI,Chinese,below 500,Delhi,Bamboo Shoots,4.5
DELHI,Chinese,above 500,Delhi,China Garden - Hyatt Regency,4.3
DELHI,Bengali,below 500,Delhi,Bhojohori Manna,4.0
DELHI,Bengali,above 500,Delhi,Six Season,4.2
DELHI,South Indian,below 500,Delhi,Sagar Ratna,4.3
DELHI,South Indian,above 500,Delhi,Saravana Bhavan,4.1
HYDERABAD,South Indian,below 500,Hyderabad,Chutneys,4.4
HYDERABAD,South Indian,above 500,Hyderabad,Ulavacharu,4.2
HYDERABAD,North Indian,below 500,Hyderabad,Paradise,4.1
HYDERABAD,North Indian,above 500,Hyderabad,The Square - Novotel Hyderabad Convention Centre,4.3
HYDERABAD,Chinese,below 500,Hyderabad,Mainland China,4.4
HYDERABAD,Chinese,above 500,Hyderabad,Golden Dragon - Taj Krishna,4.2
HYDERABAD,Bengali,below 500,Hyderabad,Bhojohori Manna,4.1
HYDERABAD,Bengali,above 500,Hyderabad,6 Ballygunge Place,4.3
HYDERABAD,South Indian,below 500,Hyderabad,Minerva Coffee Shop,4.5
HYDERABAD,South Indian,above 500,Hyderabad,Bhojanam,4.2
HYDERABAD,North Indian,below 500,Hyderabad,Barbeque Nation,4.3
HYDERABAD,North Indian,above 500,Hyderabad,Kangan - The Westin Hyderabad Mindspace,4.1
HYDERABAD,Chinese,below 500,Hyderabad,Chinese Pavilion,4.2
HYDERABAD,Chinese,above 500,Hyderabad,Wan Hao - Marriot Hyderabad,4.0
HYDERABAD,Bengali,below 500,Hyderabad,Ohri's Nautanki Gali,4.5
HYDERABAD,Bengali,above 500,Hyderabad,Banana Leaf,4.3
HYDERABAD,South Indian,below 500,Hyderabad,Shree Santosh Family Dhaba,4.2
HYDERABAD,South Indian,above 500,Hyderabad,Southern Spice,4.0
HYDERABAD,North Indian,below 500,Hyderabad,Ohri's Tansen,4.3
HYDERABAD,North Indian,above 500,Hyderabad,Sahib's Barbeque by Ohri's,4.5
HYDERABAD,Chinese,below 500,Hyderabad,Noodle Bar,4.4
HYDERABAD,Chinese,above 500,Hyderabad,Celestial Court - Sheraton Hyderabad Hotel,4.2
HYDERABAD,Bengali,below 500,Hyderabad,Ohri's Chowpatty,4.1
HYDERABAD,Bengali,above 500,Hyderabad,Mainland China,4.3
HYDERABAD,South Indian,below 500,Hyderabad,Udipi Home,4.5
HYDERABAD,South Indian,above 500,Hyderabad,The Square - Novotel Hyderabad Convention Centre,4.3
HYDERABAD,North Indian,below 500,Hyderabad,City Spice,4.2
HYDERABAD,North Indian,above 500,Hyderabad,Spice Junxion - The Golkonda Hotel,4.0
HYDERABAD,Chinese,below 500,Hyderabad,Ming Garden,4.3
HYDERABAD,Chinese,above 500,Hyderabad,Bamboo,4.2
HYDERABAD,Bengali,below 500,Hyderabad,Ohri's De Thali,4.0
HYDERABAD,Bengali,above 500,Hyderabad,Six Ballygunge Place,4.2
HYDERABAD,South Indian,below 500,Hyderabad,Sri Kanya,4.3
HYDERABAD,South Indian,above 500,Hyderabad,Chutneys,4.1
AMRITSAR,North Indian,below 500,Amritsar,Bharawan Da Dhaba,4.4
AMRITSAR,North Indian,above 500,Amritsar,The Yellow Chilli,4.2
AMRITSAR,Chinese,below 500,Amritsar,Packers and Movers,4.3
AMRITSAR,Chinese,above 500,Amritsar,Wat a Burger!,4.1
AMRITSAR,Bengali,below 500,Amritsar,Beera Chicken House,4.0
AMRITSAR,Bengali,above 500,Amritsar,Bansal Sweets,4.2
AMRITSAR,South Indian,below 500,Amritsar,Mainland China,4.3
AMRITSAR,South Indian,above 500,Amritsar,Pindi Food Street,4.1
AMRITSAR,North Indian,below 500,Amritsar,Sharma Dhaba,4.5
AMRITSAR,North Indian,above 500,Amritsar,Capital Grill,4.3

